epoch,D,G,ZD,GE,E
0,7.273731231689453,10.71658992767334,1.3964463472366333,0.6666161417961121,0.8841641545295715
1,2.0255792140960693,4.649594306945801,1.1954714059829712,0.5121471881866455,2.047677516937256
2,1.4503933191299438,3.4048969745635986,1.0188515186309814,0.5144352912902832,3.3670175075531006
3,1.4704991579055786,3.4749393463134766,1.1651909351348877,0.48816394805908203,2.4201598167419434
4,1.577131986618042,2.386826276779175,1.378586769104004,0.46754688024520874,1.2316498756408691
5,1.9912925958633423,2.847005605697632,1.4332995414733887,0.3878871202468872,0.630911648273468
6,1.7962969541549683,1.9397385120391846,1.3974907398223877,0.36008644104003906,0.6568482518196106
7,1.9177746772766113,1.634688377380371,1.3958003520965576,0.30065062642097473,0.6594080328941345
8,1.6881482601165771,1.2886433601379395,1.3764135837554932,0.29185473918914795,0.7088422179222107
9,1.5694425106048584,1.4306281805038452,1.3767048120498657,0.297611266374588,0.7088753581047058
10,1.5557469129562378,1.4060900211334229,1.3379253149032593,0.32124829292297363,0.7878924608230591
11,1.481804609298706,1.426645040512085,1.3717825412750244,0.3011290431022644,0.7371106147766113
12,1.5518993139266968,1.29854154586792,1.2923529148101807,0.3244714140892029,0.900918185710907
13,1.5821349620819092,1.3196487426757812,1.14385187625885,0.32568633556365967,1.5802133083343506
14,1.5518251657485962,1.0989160537719727,1.1756620407104492,0.3133027255535126,1.514073371887207
15,1.545230507850647,1.1141139268875122,1.4396734237670898,0.2709890604019165,0.6833582520484924
16,1.6021603345870972,1.0566229820251465,1.4202001094818115,0.24720895290374756,0.6112735271453857
17,1.5562729835510254,1.0895365476608276,1.4166897535324097,0.24395357072353363,0.6580429673194885
18,1.5440435409545898,1.058887004852295,1.4004331827163696,0.23932109773159027,0.6943387389183044
19,1.5631273984909058,1.1583503484725952,1.3985446691513062,0.2320716679096222,0.6995185017585754
20,1.5515398979187012,1.0473196506500244,1.4024035930633545,0.23314592242240906,0.6811661720275879
21,1.5078356266021729,1.0858010053634644,1.4033701419830322,0.23312194645404816,0.6843729615211487
22,1.5932899713516235,1.042804479598999,1.379382848739624,0.226080060005188,0.6997247934341431
23,1.4888792037963867,1.0439106225967407,1.4086560010910034,0.22422495484352112,0.6837510466575623
24,1.47194242477417,0.9162998199462891,1.3921092748641968,0.22076693177223206,0.6736845970153809
25,1.4898406267166138,0.9982073307037354,1.385344386100769,0.2186673879623413,0.7046883702278137
26,1.5053004026412964,0.9547469019889832,1.3957853317260742,0.2168712615966797,0.6887081861495972
27,1.4740629196166992,0.9991493225097656,1.389754295349121,0.21739934384822845,0.6995850205421448
28,1.5284696817398071,0.9810951352119446,1.3876783847808838,0.21905648708343506,0.6978763341903687
29,1.272591233253479,0.8297498226165771,1.386076807975769,0.2085985690355301,0.6984648108482361
30,1.2109013795852661,0.840080201625824,1.3865861892700195,0.20812763273715973,0.6978482604026794
